id;segmentid;templateid;storeid;name;description;badge;type;status;isdefault;createdat;createdby;updatedat;updatedby
1;1;1970-01-01 00:00:00.000000001;IWKESVR022;Campanha Saepe WGN5;Excepturi earum quas quos tempora suscipit beatae iste quas fugit laboriosam laudantium.;winback;2;1970-01-01 00:00:00.000000004;False;;Não informado;2024-08-23 11:20:33;Não informado
2;2;1970-01-01 00:00:00.000000002;GZSR8RUW2X;Campanha Voluptatem H6QI;Officia a facilis saepe iste illo nobis.;loyalty;2;1970-01-01 00:00:00.000000004;False;Não informado;Não informado;2025-03-25 07:01:33;Não informado
3;3;1970-01-01 00:00:00.000000003;F4JD1KSIBS;Campanha Itaque MQPN;Blanditiis ipsam qui odit quas minus rerum praesentium ex cupiditate ipsa.;Não informado;2;1970-01-01 00:00:00.000000003;True;;Não informado;2025-03-25 05:15:59;Não informado
4;4;1970-01-01 00:00:00.000000004;GIXMC4SX27;Campanha Voluptate DCBH;Atque molestiae laboriosam omnis consectetur ab aliquam optio magni.;loyalty;2;1970-01-01 00:00:00.000000003;True;;Não informado;2024-06-20 06:33:14;Não informado
5;5;1970-01-01 00:00:00.000000005;GVE4ZTJ1KM;Campanha Eum 9831;Ipsa nostrum odit eum recusandae sapiente dignissimos quisquam.;migration;2;1970-01-01 00:00:00.000000002;False;;Não informado;2024-09-25 08:06:44;Não informado
6;6;1970-01-01 00:00:00.000000006;I0RS210Q2L;Campanha Tempore G1ZH;Quo repellendus id laboriosam explicabo illo ratione.;Não informado;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-10-08 03:36:59;Não informado
7;7;1970-01-01 00:00:00.000000007;5L0RXMIP11;Campanha Libero YKVU;Quos veritatis corporis laboriosam unde quasi accusantium soluta adipisci nobis dolore.;migration;1;1970-01-01 00:00:00.000000002;False;;Não informado;2024-12-25 17:42:30;Não informado
8;8;1970-01-01 00:00:00.000000008;WVV59HOTGD;Campanha Minus UQ6D;Não informado;migration;1;1970-01-01 00:00:00.000000001;True;Não informado;Não informado;2025-03-05 00:45:23;Não informado
9;9;1970-01-01 00:00:00.000000009;AH6NHKSQNA;Campanha Eius L6O9;Fugiat eos ipsam fugit non voluptates ut.;loyalty;2;1970-01-01 00:00:00.000000004;False;;Não informado;2025-06-12 08:46:22;Não informado
10;5;1970-01-01 00:00:00.000000010;O6H5L3XFUL;Campanha Quae HZQH;Quidem temporibus eius explicabo nesciunt eligendi sunt quod voluptatum iure cum omnis.;loyalty;2;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2024-11-30 09:11:28;Não informado
11;10;1970-01-01 00:00:00.000000011;S65QU0K5QZ;Campanha Occaecati ZKW3;Fugiat soluta placeat ipsam aspernatur excepturi beatae molestiae repellat fuga iure dignissimos.;loyalty;2;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-10-18 19:45:22;Não informado
12;5;1970-01-01 00:00:00.000000012;Q6GUO8I5JW;Campanha Modi K6Z0;In amet dicta optio laboriosam exercitationem voluptatem.;loyalty;2;1970-01-01 00:00:00.000000004;False;Não informado;Não informado;2024-10-28 12:23:16;Não informado
13;11;1970-01-01 00:00:00.000000013;EN1S2OFHBA;Campanha Eos WYQM;Quia laudantium odio a praesentium cumque eaque voluptatem earum ad adipisci doloremque.;Não informado;1;1970-01-01 00:00:00.000000004;False;;Não informado;2025-08-12 15:39:21;Não informado
14;12;1970-01-01 00:00:00.000000014;JZEYQQCXZP;Campanha Repellat QKF4;Não informado;winback;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-01-31 10:41:02;Não informado
15;13;1970-01-01 00:00:00.000000015;TOC1YFMHBY;Campanha Eos HZ43;Rem quia deleniti adipisci possimus consequuntur odio hic ea officiis eligendi est sed.;seasonal;1;1970-01-01 00:00:00.000000004;False;;Não informado;2024-07-07 00:13:31;Não informado
16;5;1970-01-01 00:00:00.000000016;PVBNHI6HAB;Campanha Optio A3YC;Illo ipsa quae sequi repudiandae molestiae possimus ipsum accusamus enim quae voluptatibus.;migration;1;1970-01-01 00:00:00.000000002;False;;Não informado;2025-03-11 21:05:46;Não informado
17;14;1970-01-01 00:00:00.000000017;S3LWW7OPID;Campanha Totam LAXA;Earum corporis facere eveniet recusandae dolorem voluptas occaecati soluta illum.;loyalty;2;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-08-27 20:49:29;Não informado
18;15;1970-01-01 00:00:00.000000018;XNCHKV9DT9;Campanha Exercitationem 4G8V;Delectus maxime dolorem tenetur modi corrupti voluptates unde esse dolorum error omnis.;seasonal;2;1970-01-01 00:00:00.000000002;False;;Não informado;2024-06-27 09:54:53;Não informado
19;5;1970-01-01 00:00:00.000000019;W5L4RMVVNX;Campanha Quia IV9I;Nihil reiciendis quaerat ullam quaerat adipisci fuga.;winback;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-08-16 17:29:48;Não informado
20;16;1970-01-01 00:00:00.000000020;1WCNKFHB7V;Campanha Ducimus 80LK;Laudantium neque architecto incidunt dolor doloremque impedit eaque sunt voluptatibus ipsa commodi.;seasonal;1;1970-01-01 00:00:00.000000004;False;;Não informado;2024-11-17 13:58:19;Não informado
21;17;1970-01-01 00:00:00.000000021;1I0MHB792Z;Campanha Repellendus I5SG;Id quam facere cumque velit esse dolorum.;seasonal;1;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2025-02-13 10:49:44;Não informado
22;18;1970-01-01 00:00:00.000000022;8B97EGT2HS;Campanha Excepturi PQFH;Sunt veniam fugit doloribus qui quod consequatur consequatur consectetur ab eligendi ea voluptates.;Não informado;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-08-24 17:02:12;Não informado
23;19;1970-01-01 00:00:00.000000023;U8H5R8MNQP;Campanha Error VPF8;Architecto nam delectus in maiores labore quas provident sit consectetur.;Não informado;1;1970-01-01 00:00:00.000000004;False;;Não informado;2024-10-01 11:42:07;Não informado
24;20;1970-01-01 00:00:00.000000024;17VF0JQQNV;Campanha Atque CEQF;Ipsam perspiciatis dolor suscipit iusto doloremque velit cupiditate nisi odio dolore porro porro.;loyalty;1;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2024-08-06 18:13:48;Não informado
25;21;1970-01-01 00:00:00.000000025;R778NRXVOB;Campanha Illo 7NUG;Não informado;Não informado;2;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2025-01-31 05:27:32;Não informado
26;5;1970-01-01 00:00:00.000000026;WNCNPIR7NZ;Campanha Omnis BXFV;Pariatur voluptatum possimus rerum similique maxime unde.;seasonal;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2025-04-03 16:29:34;Não informado
27;5;1970-01-01 00:00:00.000000027;84A1X7OV6S;Campanha Sunt GP3J;Inventore veniam adipisci assumenda nulla aut repellendus.;consumption;2;1970-01-01 00:00:00.000000003;True;Não informado;Não informado;2025-02-06 20:40:18;Não informado
28;22;1970-01-01 00:00:00.000000028;175DU23JH0;Campanha Magni ZAGR;Saepe dolorem consequatur illum qui asperiores tenetur optio possimus maiores numquam quae.;migration;1;1970-01-01 00:00:00.000000004;False;Não informado;Não informado;2025-05-20 19:21:14;Não informado
29;23;1970-01-01 00:00:00.000000029;X0GNZHG8Q3;Campanha Accusantium GCG1;Non exercitationem distinctio non magnam architecto possimus odio eos harum nostrum quae.;consumption;2;1970-01-01 00:00:00.000000004;True;;Não informado;2025-03-03 15:35:56;Não informado
30;24;1970-01-01 00:00:00.000000030;5FKNJMVRYD;Campanha Voluptatem C1AU;Não informado;migration;1;1970-01-01 00:00:00.000000002;False;;Não informado;2024-11-05 05:08:47;Não informado
31;5;1970-01-01 00:00:00.000000031;NS8JR1VMYM;Campanha Quo LINO;Não informado;winback;1;1970-01-01 00:00:00.000000003;False;;Não informado;2024-08-04 15:06:33;Não informado
32;25;1970-01-01 00:00:00.000000032;A5O47AET81;Campanha Quasi IQY5;Error voluptatem veniam dolor deserunt neque soluta libero hic.;winback;2;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-07-09 00:48:02;Não informado
33;26;1970-01-01 00:00:00.000000033;AMB3LPVOWC;Campanha Reiciendis P779;Cupiditate cupiditate vitae explicabo quis possimus.;seasonal;1;1970-01-01 00:00:00.000000004;False;;Não informado;2024-06-24 23:45:50;Não informado
34;27;1970-01-01 00:00:00.000000034;Z552ZBRD39;Campanha Maiores 9Q68;Não informado;Não informado;1;1970-01-01 00:00:00.000000002;False;;Não informado;2024-08-11 21:36:00;Não informado
35;28;1970-01-01 00:00:00.000000035;1XDPZF761H;Campanha Praesentium JR6E;Ipsa commodi deleniti asperiores cumque cupiditate enim earum iste quasi dolores deleniti doloribus.;loyalty;2;1970-01-01 00:00:00.000000001;False;;Não informado;2024-06-28 23:14:02;Não informado
36;29;1970-01-01 00:00:00.000000036;571VXNZ0NX;Campanha Ex U43I;Não informado;migration;2;1970-01-01 00:00:00.000000001;False;;Não informado;2025-03-25 10:29:52;Não informado
37;30;1970-01-01 00:00:00.000000037;MVG7UELN0L;Campanha Harum VGNP;Não informado;consumption;1;1970-01-01 00:00:00.000000002;True;Não informado;Não informado;2024-04-09 00:45:32;Não informado
38;31;1970-01-01 00:00:00.000000038;A4L3KHYFK0;Campanha Earum 43BL;Temporibus qui molestias nam et officiis magnam.;winback;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-09-11 04:03:05;Não informado
39;32;1970-01-01 00:00:00.000000039;R3RZN9L3H0;Campanha Sint 3ZB5;Pariatur eos esse nihil molestiae sequi veritatis exercitationem labore magnam expedita.;loyalty;2;1970-01-01 00:00:00.000000004;False;;Não informado;2025-08-01 03:51:48;Não informado
40;33;1970-01-01 00:00:00.000000040;9TMY91OTKZ;Campanha Incidunt H4OE;Architecto fugit optio sed ut aut unde numquam omnis suscipit blanditiis nisi odio.;winback;1;1970-01-01 00:00:00.000000003;False;;Não informado;2024-07-26 22:25:45;Não informado
41;5;1970-01-01 00:00:00.000000041;UPR6H2HXN4;Campanha Accusamus D24N;Facere exercitationem illum ratione molestias praesentium repudiandae a libero impedit ipsum quam quidem.;Não informado;1;1970-01-01 00:00:00.000000001;False;;Não informado;2024-09-28 11:06:38;Não informado
42;34;1970-01-01 00:00:00.000000042;9GB9XV8WOB;Campanha Ut IRY8;Não informado;seasonal;2;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2024-08-18 01:49:42;Não informado
43;35;1970-01-01 00:00:00.000000043;JXNECRYSAU;Campanha Voluptates UJ02;Porro labore architecto ex laudantium velit ad distinctio.;loyalty;2;1970-01-01 00:00:00.000000004;False;;Não informado;2025-01-20 20:21:05;Não informado
44;36;1970-01-01 00:00:00.000000044;KELZ5TOZO3;Campanha Saepe 2TC4;Veniam aut asperiores eius dolorem quaerat quisquam repellendus velit voluptas nam ab.;winback;1;1970-01-01 00:00:00.000000002;True;Não informado;Não informado;2025-04-28 02:40:29;Não informado
45;37;1970-01-01 00:00:00.000000045;GVGT2EEHFU;Campanha Sed 4B9S;Eveniet nisi quis porro accusamus autem.;consumption;1;1970-01-01 00:00:00.000000004;False;Não informado;Não informado;2024-11-22 13:01:52;Não informado
46;5;1970-01-01 00:00:00.000000046;IB86KTFRL6;Campanha Accusantium 9VSY;Corrupti tempora architecto ut ab maxime.;seasonal;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-09-23 09:05:18;Não informado
47;38;1970-01-01 00:00:00.000000047;F4HETVJ0PT;Campanha Impedit JXFQ;Não informado;consumption;2;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-05-01 00:59:01;Não informado
48;39;1970-01-01 00:00:00.000000048;C09ZGNX3VP;Campanha Libero F9PA;Nulla quis ratione consectetur sequi tenetur fugit odit porro.;winback;1;1970-01-01 00:00:00.000000001;False;;Não informado;2024-11-18 21:35:20;Não informado
49;40;1970-01-01 00:00:00.000000049;TYOLD62F2J;Campanha Eos D9I8;Não informado;migration;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-06-27 16:20:53;Não informado
50;41;1970-01-01 00:00:00.000000050;DMUKJDBL1G;Campanha Tempora 3Y2T;Magnam ratione perferendis vel totam nesciunt quia quam.;Não informado;2;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2025-05-04 10:51:52;Não informado
