id;companyid;containerid;createdat;customer;displayid;engineid;enginename;enginetype;extrainfo;integrated;integrationid;istest;ordertiming;ordertype;saleschannel;scheduledat;status;preparationtime;takeouttimeinseconds;totalamount;updatedat;version
361;TS9QP0DI6F;GN7PU0G4;2024-09-02 20:04:00;871;KIKU0Z;RFO7ZC;CannoliEngine;POS;Não informado;False;8332;False;SCHEDULED;INDOOR;ANOTAAI;2024-09-05 17:04:00;PLACED;16;458;27.32;2024-09-03 13:43:00;v1.2.5
1079;LMX0HGF6PL;TGSDBL5P;2024-09-03 00:24:00;620;MPTGNB;OE0NLH;IfoodBridge;WEB;Nostrum facilis consectetur eaque maiores totam aliquid.;True;3164;False;IMMEDIATE;DELIVERY;SITE;2024-09-03 00:24:00;CONFIRMED;28;3465;50.76;2024-09-03 12:20:00;v3.0.0
1721;FE2K6UMW8V;T9A1JYO0;2024-09-03 04:46:00;629;82LPFD;MGYSKK;KDSPro;WEB;Ex occaecati optio consectetur ratione.;True;2223;False;SCHEDULED;DELIVERY;IFOOD;2024-09-05 09:46:00;CONFIRMED;53;242;76.01;2024-09-03 23:33:00;v3.1.3
1308;5LH9USR5BV;UBXCJT86;2024-09-03 11:37:00;403;LYPP3F;ZMSNWQ;IfoodBridge;POS;Não informado;False;1090;False;SCHEDULED;INDOOR;99FOOD;2024-09-05 01:37:00;CONFIRMED;90;1754;56.12;2024-09-03 17:20:00;v1.9.6
1513;STDYOXEHWR;H7AOCVB0;2024-09-03 17:21:00;811;26MKT5;PK6SMJ;CannoliEngine;POS;Nisi hic earum enim.;False;2124;False;IMMEDIATE;INDOOR;IFOOD;2024-09-03 17:21:00;CONFIRMED;71;2451;76.26;2024-09-04 06:22:00;v2.3.6
400;GW12XQFJO2;L16YBOVC;2024-09-03 18:52:00;436;B1YNTP;LI69VI;KDSPro;WEB;Eligendi molestiae vero magni nulla repellat recusandae.;True;9074;False;IMMEDIATE;DELIVERY;ANOTAAI;2024-09-03 18:52:00;CANCELED;19;3585;130.44;2024-09-04 12:14:00;v2.6.3
1594;KEW1X3FZVC;YCJTFSBM;2024-09-03 19:32:00;876;HOGR9H;P0TU7X;IfoodBridge;POS;Não informado;True;1502;False;IMMEDIATE;DELIVERY;IFOOD;2024-09-03 19:32:00;CONFIRMED;25;2046;41.36;2024-09-03 22:29:00;v2.7.9
1219;2XT0YV8ZLN;LXWZVCLN;2024-09-04 00:51:00;656;LC25JU;V05FJH;DirectOrder;WEB;Não informado;False;1597;False;SCHEDULED;DELIVERY;WHATSAPP;2024-09-04 14:51:00;CONFIRMED;71;1340;13.48;2024-09-04 17:52:00;v2.2.5
249;T9OJ4X9OV7;YS1YZMZU;2024-09-04 00:52:00;135;Q8A1CC;31UZZT;KDSPro;WEB;Pariatur repellat pariatur maiores.;False;2988;False;IMMEDIATE;DELIVERY;ANOTAAI;2024-09-04 00:52:00;CONFIRMED;26;1659;90.12;2024-09-04 03:11:00;v1.4.2
1984;CRVSBAMFEF;O1RS3LFP;2024-09-04 03:37:00;928;7YKOBC;7TNPAR;CannoliEngine;APP;Alias commodi magnam dolore deleniti voluptas.;True;7618;False;IMMEDIATE;TAKEOUT;DELIVERYVIP;2024-09-04 03:37:00;CANCELED;90;1616;83.3;2024-09-04 17:58:00;v3.9.5
1418;SF4TME6X53;7GCHGT8J;2024-09-04 04:00:00;490;O1A42Y;S5TRPM;CannoliEngine;APP;Não informado;False;2985;False;IMMEDIATE;INDOOR;WHATSAPP;2024-09-04 04:00:00;PLACED;86;1962;31.16;2024-09-04 10:55:00;v3.5.4
